ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure
99,declaritive,"SORRY, WE DON'T HAVE ANY.",SORRY WE DON'T HAVE ANY,LOL REALLY DON'T HAVE ANY,ALREA HE DURN TO HIE IDY,LORY IF WE DON'T HAVE ANNY, LONG WAY WE DON'T HAVE ANY,SORRY WE DON'T HAVE ANY,SORRY WE DON'T HAVE ANY
100,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,INDI YOUR MINNER,ENJOYED YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
101,declaritive,IT'S YOUR SIZE.,IT'S YOUR SIZE,EACH YOUR FLIES,ICH YOU ARE FLIES,IT'S YOUR FLIES, IT'S YOUR FRIES,IT'S YOUR SIZE,IT'S YOUR SIZE
102,declaritive,I LIKE KOREAN FOOD.,I LIKE KOREAN FOOD,I LIKE KOREA AND THE FLU,I LIKE CAREER EFOAD,I LIKE CAREERA FOOD, I LIKE KOREAN FOOD,I LIKE KOREAN FOOD,I LIKE KOREAN FOOD
103,exclamatory,THAT'S RIGHT!,THAT'S RIGHT,THAT,THANT OR,THAT OR, THANKS,THAT'S RIGHT,THAT'S RIGHT
104,declaritive,I HAVE NO IDEA.,I HAVE NO IDEA,THEY HAVE ALL NO IDEA,I HAVE A NO IDEA,I HAVE A NO IDEA, I HAVE A KNOWN IDEA,I HAVE A KNOWN IDEA,I HAVE NO IDEA
105,interrogative,WHAT DOES IT SAY?,WHAT DOES IT SAY,ONE THOUSAND SAY,WAR THOSHE FAY,WHAT DARS HE SAY, WHAT DOES HE SAY,WHAT DOES HE SAY,WHAT DOES IT SAY
106,declaritive,"SORRY, I'M LATE.",SORRY I'M LATE,SORRY FOR LATE,SORRY PANPLAY,NORY FU LATE, SORRY I'M LATE,SORRY I'M LATE,SORRY I'M LATE
107,declaritive,IT'S TEN DOLLARS.,IT'S TEN DOLLARS,IT'S NOW,IT'S CANDALLA,IT'S TANDALA, IT'S $10,IT'S TEN DOLLARS,IT'S TEN DOLLARS
108,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANYMORE IS IT AS GALLERY,IS ENIMAR IS IG AND SCALRY,THIS ANIMAR IS BIG AN SKARY, THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY
109,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,THREE HAVEN'T DONE THIS TO MY SAYS,TREE HABU TOUNES TO MESSAGE,WE HAVE  DOU NEXT A MESSAGE, WE HAVE DONE OUR NEXT MASSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE
110,declaritive,THEN TURN LEFT.,THEN TURN LEFT,TO LAST,DANCER LEFT,THEN TURN LEFT, DAN TO THE LEFT,THEN TURN LEFT,THEN TURN LEFT
111,interrogative,CAN I HELP YOU?,CAN I HELP YOU,CAN I HIRE YOU,CAN I HARP YOU,CAN I HARP YOU, CAN I HARP YOU,CAN I HELP YOU,CAN I HELP YOU
112,declaritive,I LIKE KOREAN FOOD.,I LIKE KOREAN FOOD,I DRIVE CARIBBEAN FOOD,I YE RI CALL YE AMFOD,AI RA CALLED AMFOD, I WRITE KOREAN FOOD,I LIKE KOREAN FOOD,I LIKE KOREAN FOOD
113,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,AND I OUGINA,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
114,declaritive,SEE YOU ON TUESDAY.,SEE YOU ON TUESDAY,STYLE,FER ON HERS BOW,STE ONTURS DIE, SEE YOU ON TUESDAY,SEE YOU ON TUESDAY,SEE YOU ON TUESDAY
115,exclamatory,THIS FARM IS HUGE!,THIS FARM IS HUGE,THIS GUY WAS HERE,IS FINELES HERE,THIS FARM IS HE, THIS FARM IS HUGE,THIS FARM IS HUGE,THIS FARM IS HUGE
116,declaritive,LET'S MEET AT THE OCEAN PARK.,LET'S MEET AT THE OCEAN PARK,HE WAS ALWAYS AT THE OCEAN PARK,HO ASK ME AT THA OSHAN CAR,WE LAST MEETS AT THA OCEAN PARK, LAST PIECE AT THE OCEAN CURVE,LAST MEET AT THE OCEAN PARK,LET'S MEET AT THE OCEAN PARK
117,declaritive,THE GAME IS OVER.,THE GAME IS OVER,THE GAME HIS OWN,THE GAES O,THE GIANES A, THE GAME IS OVER,THE GAME IS OVER,THE GAME IS OVER
118,exclamatory,THIS TREE IS HUGE!,THIS TREE IS HUGE,THESE THREE IS NEW,I GRIN IN HE,DIS TRA IS YOU, THIS TREE IS YOU,THIS TREE IS HUGE,THIS TREE IS HUGE
119,declaritive,LOOK OVER THERE.,LOOK OVER THERE,BLACK OVER THERE,LET OVER DON,LOK OVER DA, LOOK OVER THERE,LOOK OVER THERE,LOOK OVER THERE
120,interrogative,WHAT FOOD DO YOU LIKE?,WHAT FOOD DO YOU LIKE,REFERRED DO YOU LIVE,RUGFOR THAN YOU LIKE,RAFORD DO YOU LIKE, RUFFLES DO YOU LIKE,WHAT FOOD DO YOU LIKE,WHAT FOOD DO YOU LIKE
121,interrogative,WHAT DOES IT SAY?,WHAT DOES IT SAY,WIFE DOROTHY,WHAT DOL FA T,WHAT DOS THE S, WHAT THOSE THINGS,WHAT DOES IT SAY,WHAT DOES IT SAY
122,declaritive,LET'S MEET AT THE OCEAN PARK.,LET'S MEET AT THE OCEAN PARK,LAXMAN ME AT THE OCEAN PARK,DO LET MEET AT TEOSHAMPARIC,LATMET AT THEOCHAN PARK, LET ME DO SOME PARK,LET'S MEET AT THE OCEAN PARK,LET'S MEET AT THE OCEAN PARK
123,exclamatory,BE CAREFUL!,BE CAREFUL,LOL,HE CANET FOR,BE CAREDFOL, BE CAREFUL,BE CAREFUL,BE CAREFUL
124,interrogative,WHAT'S WRONG?,WHAT'S WRONG,WHAT'S WRONG,WAT WRONG,WHAT'S WRONG, WATCH IT WRONG,WHAT'S WRONG,WHAT'S WRONG
125,interrogative,WHAT TREE IS THIS?,WHAT TREE IS THIS,THE I PRAY A STAND,LATTRY IS DEAD,WHAT TRE IS THIS, WHAT PRETTY IS THIS,WHAT TREE IS THIS,WHAT TREE IS THIS
126,declaritive,I'M VERY THIRSTY.,I'M VERY THIRSTY,FILE FAMILY FOR,A IN BEARWAY SIR,AY VERWY SIR, HI BELLY CERTAIN,I'M VERY THIRSTY,I'M VERY THIRSTY
127,declaritive,GOOD AFTERNOON.,GOOD AFTERNOON,DO THAT,THAT SA,ODETTE N, GOOD NIGHT SENNA,GOOD AFTERNOON,GOOD AFTERNOON
128,exclamatory,"YES, LET'S GO!",YES LET'S GO,LET'S GO,SAND LET'S GO,ES LET'S GO, SO LET'S GO,YES LET'S GO,YES LET'S GO
129,declaritive,LET'S TAKE THE BUS.,LET'S TAKE THE BUS,LOTS OF PAID FOR BALLS,LAD SAID PAY DOL BATH,LADAN PAG TA BOF, LET'S TAKE THE BALL BALL,LET'S TAKE THE BUS,LET'S TAKE THE BUS
130,interrogative,WHAT BIRD IS THAT?,WHAT BIRD IS THAT,WHY FOR HIS DEATH,WHAT BOUT IS THAT,WHAT BUR IS THAT, WHAT THE HELL IS THAT,WHAT BIRD IS THAT,WHAT BIRD IS THAT
131,declaritive,LET'S RING THE BELL.,LET'S RING THE BELL,BLAIR'S GREEN BOTH BOROUGH,GLANCE GREEN OR VE,LADS DREAM OF BEO, LET'S BRING THE VEIL,LET'S BRING THE BARREL,LET'S RING THE BELL
132,declaritive,"YES, PLEASE.",YES PLEASE,YES PLEASE,YES PLESE,YES PLEASE, YES PLEASE,YES PLEASE,YES PLEASE
133,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,BUT TO USE DAY,WHAT DO YOU TANK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK
134,interrogative,CAN I HELP YOU?,CAN I HELP YOU,AND I HELP IN,AND THY HOATH YO,AND THY HOUTH IL, AND I HELP YOU,CAN I HELP YOU,CAN I HELP YOU
135,declaritive,THERE IS A SIGN.,THERE IS A SIGN,THERE IS A SIGN,DEU IS A SIGN,THERE IS A SIGN, THERE IS A SIGN,THERE IS A SIGN,THERE IS A SIGN
136,declaritive,HERE IS YOUR PRIZE.,HERE IS YOUR PRIZE,VERY YOUR FOR I,VERY YOUR FRIVE,THERE IS YOUR PRICE, HERE IS YOUR PRIZE,HERE IS YOUR PRIZE,HERE IS YOUR PRIZE
137,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR HERE,ENJOE YE YOUARE DEARER,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
138,declaritive,THE ANSWER IS THE TIGER.,THE ANSWER IS THE TIGER,THE ANSWER WAS A TIGER,THE ANSER IS THE PIDER,THE ANSWER IS THE TIGER, THE ANSWER IS THE TITLE,THE ANSWER IS THE TIGER,THE ANSWER IS THE TIGER
139,declaritive,A CHILD'S TICKET IS FOUR DOLLARS.,A CHILD'S TICKET IS FOUR DOLLARS,OH IT'S HIGH AS KIT CAT EASE FORM DOUBT OURS,O TRIES TE CAT IS FOR DOLLARS,O THIARS TICKET IS FOR DOLLARS, A TRIAST TICKET IS FOR DOLLARS,A CHILD'S TICKET IS $4,A CHILD'S TICKET IS FOUR DOLLARS
140,declaritive,DON'T WORRY.,DON'T WORRY,DON'T WORRY,DON WARTE,DON'T WARRY, DON'T WORRY,DON'T WORRY,DON'T WORRY
141,declaritive,NEXT WEEK IS SPRING VACATION.,NEXT WEEK IS SPRING VACATION,AS CRAIG IS SPRING VACATION,BREAG OR SCRAINBLE CLOSE FROM HER,QUIG IS SPRING VACATION, ESQUICK IS SPRING VACATION,F-WIG IS SPRING VACATION,NEXT WEEK IS SPRING VACATION
142,interrogative,ARE YOU THIRSTY?,ARE YOU THIRSTY,VERY THIRSTY,ARE YOU BARSKI,ARE YOU THIRSTY, ARE YOU THIRSTY,ARE YOU THIRSTY,ARE YOU THIRSTY
143,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,WHY DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK
144,interrogative,WHAT DOES THAT MEAN?,WHAT DOES THAT MEAN,WHAT REALLY,WHY AVE CAUSE ME IMEN,WHAT TOS CAN YE MEAN, WHAT DOES THE RING,WHAT DOES THAT MEAN,WHAT DOES THAT MEAN
145,interrogative,WHO'S THE WINNER?,WHO'S THE WINNER,OH NO WINNER,USAVINA,OZOWENA, WHO'S A WINNER,WHO'S THE WINNER,WHO'S THE WINNER
146,declaritive,IT DOES NOT PLAY FOOTBALL.,IT DOES NOT PLAY FOOTBALL,HE DOES LIKE PLAY FOOTBALL,EAT DOS NAR PLAY FRUITFUR,HE DOES NOT PLAY FRUITBALL, EAT THOSE NOT PLAY FOOTBALL,HE DOES NOT PLAY FOOTBALL,IT DOES NOT PLAY FOOTBALL
147,declaritive,WE CAN'T FIND THE STADIUM.,WE CAN'T FIND THE STADIUM,WE CAN'T FIND DOES THE THE ON,WE CAN'T FIND THE STEDIO,WE CAN'T FIND THE SPEDIUM, WE CAN'T FIND THE STADIUM,WE CAN'T FIND THE STADIUM,WE CAN'T FIND THE STADIUM
148,declaritive,TRY THIS BLUE SHIRT.,TRY THIS BLUE SHIRT,TRY THE IS BARELY SHED,TRIGEOS BLUESHARE,TRYGAS BLUCHER, TRY THIS BLUE SHIRT,TRY THIS BLUE SHIRT,TRY THIS BLUE SHIRT
149,declaritive,WELCOME TO KOREA.,WELCOME TO KOREA,COME TO KOREA,WERE COME TO COREA,WE'RCOME TO COREA, WELCOME TO KOREA,WELCOME TO KOREA,WELCOME TO KOREA
150,declaritive,BUT I DON'T LIKE SNAILS.,BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS,BUT I DON'T ALIKE SNALS,BUT I DON'T LIKE SNAILS, BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS
151,declaritive,WE ARE HAVING AN ANIMAL CONTEST.,WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING ON ANYMORE CONTEST,WE ARE HAVING ON ANY MORE CONTEST,WE ARE HAVING AN ANIMAL CONTEST, WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING AN ANIMAL CONTEST
152,declaritive,THIS ANIMAL LIVES ON A FARM.,THIS ANIMAL LIVES ON A FARM,ANGER LEAVES THE OWNER FRYER,THIS ANIMO LAVES ON A FIRE,THIS ANIMAL LIVES ON A FIRE, THIS ANIMAL LIVES ON A FARM,THIS ANIMAL LIVES ON A FARM,THIS ANIMAL LIVES ON A FARM
153,exclamatory,I'M SO EXCITED!,I'M SO EXCITED,I'M SO EXCITED,IM THOUGHT YOU TIBUG,I'M SO EXCITED, I'M SO EXCITED,I'M SO EXCITED,I'M SO EXCITED
154,declaritive,WE HAVE OUR LAST MESSAGE.,WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MONTH,WE HAVE ALAST CO MESS,WE HAVE AUR LAST MESSA, WE HAVE A LAST MESSAGE,WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MESSAGE
155,interrogative,HOW MUCH IS A TICKET?,HOW MUCH IS A TICKET,OH MARGE IS OUR TAKE CARE,HOW MUCH ITS OUT TEACAP,HOW MUCH IS OU TA KET, HOW MUCH IS A TICKET,HOW MUCH IS YOUR TICKET,HOW MUCH IS A TICKET
156,declaritive,LOOK OVER THERE.,LOOK OVER THERE,A OVER FIRE,LOVE ALL MY BY,LOK ALL MY BA, LOOK ALL THE WAY,LOOK OVER THERE,LOOK OVER THERE
157,declaritive,MY FOOT HURTS.,MY FOOT HURTS,LIVE BIRTH HURST,MY FUNK HARST,MY FOOT HURST, MY FOOT FIRST,MY FOOT FIRST,MY FOOT HURTS
158,declaritive,IT'S YOUR SIZE.,IT'S YOUR SIZE,A SERIOUS SIZE,IT'S YOUR SIZE,IT'S YOUR SIZE, IT'S YOUR SIZE,IT'S YOUR SIZE,IT'S YOUR SIZE
159,interrogative,WHAT DOES IT SAY?,WHAT DOES IT SAY,WHY DOES IT SAY,ON DOS IT FAY,WHAT DOES HE SAY, ONE DOSE A DAY,WHAT DOES IT SAY,WHAT DOES IT SAY
160,declaritive,MY BIKE IS BROKEN.,MY BIKE IS BROKEN,MY LIFE IS BROKEN,MY LIFE IS BROK,MY WIFE IS BROKEN, MY BIKE IS BROKEN,MY BIKE IS BROKEN,MY BIKE IS BROKEN
161,declaritive,LET'S SEE THE DOLPHIN.,LET'S SEE THE DOLPHIN,LET'S SEE THAT OFTEN,LE SEE THA GOLFIN,LES SE THE DOLPHIN, LET'S SEE THE DOLPHIN,LET'S FEED THE DOLPHIN,LET'S SEE THE DOLPHIN
162,declaritive,IT'S REALLY INTERESTING.,IT'S REALLY INTERESTING,HE'S REALLY INTO,IT MERRY,I NEARLY INTEREST, IT'S REALLY INTERESTING,IT'S LILY INTEREST,IT'S REALLY INTERESTING
163,interrogative,CAN YOU READ THE MESSAGE?,CAN YOU READ THE MESSAGE,OH YEAH RAY FARMER FALL,HUNGRY AMA FA,O YER RAS BY MY FA, CAN YOU REST ON MY SIDE,CAN YOU READ THE MESSAGE,CAN YOU READ THE MESSAGE
164,interrogative,CAN I FEED THE DOLPHIN?,CAN I FEED THE DOLPHIN,CAN I FREEZE DAUGHTER OF FRIENDS,CAN I FAITH THE DORPHIN,CAN I FAT THAT ORPHIN, CAN I FEED THAT ORPHAN,CAN I FEED THE DOLPHIN,CAN I FEED THE DOLPHIN
165,interrogative,CAN YOU GO TOMORROW MORNING?,CAN YOU GO TOMORROW MORNING,CAN YOU GOT TO MARA MONEY,TEN YOU GOOD TO MORROW A MONEY,CAN YOU GO TO MORRO MONI, CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING
166,interrogative,ARE YOU THIRSTY?,ARE YOU THIRSTY,OH YOU TERRORIST THE,ON YOU DIRSTY,ARE YOU THIRSTY, ALL YOU THIRSTY,ALL YOU THIRSTY,ARE YOU THIRSTY
167,declaritive,IT HAS A LONG TAIL.,IT HAS A LONG TAIL,IT HAS A LONG TAIL,IT HAS A LONG PAIL,IT HAS A LONG TAIL, IT HAS A LONG TAIL,IT HAS A LONG TAIL,IT HAS A LONG TAIL
168,interrogative,ARE WE LOST?,ARE WE LOST,ARE WE LOST,HURRY LOST,ARY LOST, I ALREADY LOST,ARE WE LOST,ARE WE LOST
169,declaritive,LET'S FIND THE LAST ANIMAL.,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST  ANIMAL,LET'S FIND THE LAST ANIMAL, LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL
170,interrogative,WHAT'S WRONG?,WHAT'S WRONG,WHAT'S WRONG,WHITE WRONG,WHAT'S WRONG, WHAT'S WRONG,WHAT'S WRONG,WHAT'S WRONG
171,declaritive,I CAN FIX IT.,I CAN FIX IT,WE CAN THEN,AN TAKE A MAN,I CAN QRAKEN, I CAN FIX IT,I CAN FIX THIS,I CAN FIX IT
172,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,WE HAVE THAT NEXT MASS SAY IT'S,WE HAV THA NEXT MASSADES,WE HAB TA NEXT MASAZ, WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE
173,declaritive,THAT MEANS HELLO IN KOREAN.,THAT MEANS HELLO IN KOREAN,THAT NICE HELLO ONLY COFFEE,DEAD MAS ERO INCORI,DEAD MASE HELLO IN COVY, THAT MEANS HELLO IN THE COVER,THAT MEANS HELLO IN KOREAN,THAT MEANS HELLO IN KOREAN
174,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,WHAT THEY DO YOU AND,WHAT DE YOU THIK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK
175,exclamatory,BE CAREFUL!,BE CAREFUL,BE CAREFUL,MERE CAREFUL,BE CAREFUL, BE CAREFUL,BE CAREFUL,BE CAREFUL
176,interrogative,DO YOU LIKE PASTA?,DO YOU LIKE PASTA,DO YOU LIKE PLAZA,DO YOUL LIKE PLATAN,DO YOU LIKE PASA, DO YOU LIKE PASTA,DO YOU LIKE PRADA,DO YOU LIKE PASTA
177,declaritive,IT'S ON THE TEAM.,IT'S ON THE TEAM,IT'S OWN THE TEAM,IT'S ON BATIM,IT'S ON THE TAM, IT'S ON THE TEAM,IT'S ON THE TEAM,IT'S ON THE TEAM
178,interrogative,WHAT'S YOUR NAME?,WHAT'S YOUR NAME,WHAT'S YOUR NAME,SUREI,ATS YORNA, WHAT'S YOUR NAME,WHAT'S YOUR NAME,WHAT'S YOUR NAME
179,interrogative,HOW MUCH IS THIS BOOK?,HOW MUCH IS THIS BOOK,HOW MUCH AS PLEASE BOTH,HO MUCH IKI BO,HO MAJIS TIS FO, HOW MUCH IS THIS FOOD,HOW MUCH IS THIS FOOD,HOW MUCH IS THIS BOOK
180,interrogative,CAN I BUY THIS PENCIL?,CAN I BUY THIS PENCIL,CAN I FIND HIS PARENTS,A MAN VIDEAS PANCE,AN IVI DIS PENCEL, TO KNOW WHY THIS PENCIL,CAN I BUY THIS PENCIL,CAN I BUY THIS PENCIL
181,declaritive,MEET MY FRIEND.,MEET MY FRIEND,MADE LIFE RISE,O MAKE MY FRIEND,MET MY FRIEND, MEET MY FRIEND,MEET MY FRIENDS,MEET MY FRIEND
182,declaritive,IT'S REALLY INTERESTING.,IT'S REALLY INTERESTING,A FEW REALLY LANE TOURIST GAME,I FERYRAIN TO ROSBON,IT YOU REALLY INTERUSTING, IT'S REALLY INTERESTING,IT'S REALLY INTERESTING,IT'S REALLY INTERESTING
183,declaritive,IT IS ON THE FOOTBALL TEAM.,IT IS ON THE FOOTBALL TEAM,IT EASY AND OUR FEDERAL TEAM,HET EAS ON TE FOOTFUL TAM,IT IS UNDER FOOTFAL TIM, IT IS UNDER 410,IT IS ON THE FRUITFUL TEAM,IT IS ON THE FOOTBALL TEAM
184,interrogative,WHAT DO YOU EAT IN KOREA?,WHAT DO YOU EAT IN KOREA,WAS REALLY EATING,LASBILIA ABIN,WASGULIA ADN COR,WHAT DO YOU EAT IN FOOD,WHAT DO YOU EAT IN KURA,WHAT DO YOU EAT IN COURT
185,declaritive,LET'S GO TO THE FOREST TOMORROW.,LET'S GO TO THE FOREST TOMORROW,LAST TWO THAT ASKED TOMORROW,CAN HERE GO TO US MA,CAN YER GO TO THE STATE,LET'S GO TO THE FIRST TOMORROW,LET'S GO TO THE FOREST TOMORROW,LET'S GO TO THE FIRST TOMORROW
186,exclamatory,THE LAST ANSWER IS THE DINOSAUR!,THE LAST ANSWER IS THE DINOSAUR,THE REST ANSWER IS THE DINOSAUR,LET'S GO TO THAT FLAST TOMORROW,LET'S GO TO DAFEST TO MORLOW,THE REST ANSWER IS THE DINOSAUR,THE LAST ANSWER IS THE DINOSAUR,THE REST ANSWER IS THE DINOSAUR
187,interrogative,CAN YOU GO TO THE STADIUM?,CAN YOU GO TO THE STADIUM,CAN YOU GOT TO THE STATE,THE REST ANSIR IS THE THINE SIR,THE REST ANSER IS TE DINSON,CAN YOU GO TO THE STAGE,CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STAGE
188,declaritive,THE ANIMAL'S BONES ARE AT THE MUSEUM.,THE ANIMAL'S BONES ARE AT THE MUSEUM,THE MOST BARS ARE AT THE MUSIC,WITH THE ANIMALS BALLS ARE AT THE MUS,THE ANMALST BALS ARE AT THE MUS,THE END ROWS BOTH ARE AT THE MUSEUM,THE ANIMALS' BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSIC
189,declaritive,IT'S AN IMPORTANT BIRD IN AMERICA.,IT'S AN IMPORTANT BIRD IN AMERICA,IS A NEW PART TIME BARTH IS VERY,IT'S AIMPORTAN BARD IN AMERICA,IT'S AN IMPORTANT BORD IN AMERICA,IT'S AN IMPORTANT WORD IN THE WORLD,IT'S AN IMPORTANT BIRD IN AMERICA,IT'S AN IMPORTANT PART IN AMERICA
190,declaritive,WE EAT LOTS OF CURRY IN INDIA.,WE EAT LOTS OF CURRY IN INDIA,WE A ROCK OF COREY IN INDIA,WE IT ROT OF CORY IN INDIA,WE EAT DROT OF CORRY IN INDIA,WE EAT A LOT OF CURRY IN INDIA,WE EAT LOTS OF CURRY IN INDIA,WE EAT LOT OF CURRY IN INDIA