ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure,Comprehensibility_Fair_Avg,Accentedness_Fair_Avg,Azure_Pronunciation,Kaldi_GOP,WER_vosk-model-small-en-us-0.15,WER_Wav2vec2,WER_HuBERT,WER_Base-En,WER_Large-v3-EN,WER_Azure
131,declaritive,LET'S RING THE BELL.,LET'S RING THE BELL,BLAIR'S GREEN BOTH BOROUGH,GLANCE GREEN OR VE,LADS DREAM OF BEO, LET'S BRING THE VEIL,LET'S BRING THE BARREL,LET'S RING THE BELL,3.22,6.49,77.4,12,1,1,1,0.5,0.5,0
132,declaritive,"YES, PLEASE.",YES PLEASE,YES PLEASE,YES PLESE,YES PLEASE, YES PLEASE,YES PLEASE,YES PLEASE,2.51,3.05,95.2,0,0,0.5,0,0,0,0
133,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,BUT TO USE DAY,WHAT DO YOU TANK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK,1.66,3.54,100,22,1,0.25,0,0,0,0
134,interrogative,CAN I HELP YOU?,CAN I HELP YOU,AND I HELP IN,AND THY HOATH YO,AND THY HOUTH IL, AND I HELP YOU,CAN I HELP YOU,CAN I HELP YOU,2.51,5.02,61.2,20,0.5,1,1,0.25,0,0
135,declaritive,THERE IS A SIGN.,THERE IS A SIGN,THERE IS A SIGN,DEU IS A SIGN,THERE IS A SIGN, THERE IS A SIGN,THERE IS A SIGN,THERE IS A SIGN,1.17,2.51,91.2,29,0,0.25,0,0,0,0
136,declaritive,HERE IS YOUR PRIZE.,HERE IS YOUR PRIZE,VERY YOUR FOR I,VERY YOUR FRIVE,THERE IS YOUR PRICE, HERE IS YOUR PRIZE,HERE IS YOUR PRIZE,HERE IS YOUR PRIZE,3.22,6.98,72.6,18,1,0.75,0.5,0,0,0
137,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR HERE,ENJOE YE YOUARE DEARER,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER,1.66,5.53,96.4,18,0.33,1.33,0,0,0,0
138,declaritive,THE ANSWER IS THE TIGER.,THE ANSWER IS THE TIGER,THE ANSWER WAS A TIGER,THE ANSER IS THE PIDER,THE ANSWER IS THE TIGER, THE ANSWER IS THE TITLE,THE ANSWER IS THE TIGER,THE ANSWER IS THE TIGER,2.51,5.53,96.6,31,0.4,0.4,0,0.2,0,0
139,declaritive,A CHILD'S TICKET IS FOUR DOLLARS.,A CHILD'S TICKET IS FOUR DOLLARS,OH IT'S HIGH AS KIT CAT EASE FORM DOUBT OURS,O TRIES TE CAT IS FOR DOLLARS,O THIARS TICKET IS FOR DOLLARS, A TRIAST TICKET IS FOR DOLLARS,A CHILD'S TICKET IS $4,A CHILD'S TICKET IS FOUR DOLLARS,3.22,7.47,76.2,29,1.67,0.83,0.5,0.33,0.33,0
140,declaritive,DON'T WORRY.,DON'T WORRY,DON'T WORRY,DON WARTE,DON'T WARRY, DON'T WORRY,DON'T WORRY,DON'T WORRY,1.17,4.01,85.6,24,0,1,0.5,0,0,0
141,declaritive,NEXT WEEK IS SPRING VACATION.,NEXT WEEK IS SPRING VACATION,AS CRAIG IS SPRING VACATION,BREAG OR SCRAINBLE CLOSE FROM HER,QUIG IS SPRING VACATION, ESQUICK IS SPRING VACATION,F-WIG IS SPRING VACATION,NEXT WEEK IS SPRING VACATION,1.66,1.95,71,18,0.4,1.2,0.4,0.4,0.4,0
142,interrogative,ARE YOU THIRSTY?,ARE YOU THIRSTY,VERY THIRSTY,ARE YOU BARSKI,ARE YOU THIRSTY, ARE YOU THIRSTY,ARE YOU THIRSTY,ARE YOU THIRSTY,2.51,4.5,77.2,6,0.67,0.33,0,0,0,0
143,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,WHY DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK,2.51,5.02,99.2,21,0.25,0,0,0,0,0
144,interrogative,WHAT DOES THAT MEAN?,WHAT DOES THAT MEAN,WHAT REALLY,WHY AVE CAUSE ME IMEN,WHAT TOS CAN YE MEAN, WHAT DOES THE RING,WHAT DOES THAT MEAN,WHAT DOES THAT MEAN,1.66,6.01,88,30,0.75,1.25,0.75,0.5,0,0
145,interrogative,WHO'S THE WINNER?,WHO'S THE WINNER,OH NO WINNER,USAVINA,OZOWENA, WHO'S A WINNER,WHO'S THE WINNER,WHO'S THE WINNER,2.51,6.01,83,21,0.67,1,1,0.33,0,0
146,declaritive,IT DOES NOT PLAY FOOTBALL.,IT DOES NOT PLAY FOOTBALL,HE DOES LIKE PLAY FOOTBALL,EAT DOS NAR PLAY FRUITFUR,HE DOES NOT PLAY FRUITBALL, EAT THOSE NOT PLAY FOOTBALL,HE DOES NOT PLAY FOOTBALL,IT DOES NOT PLAY FOOTBALL,3.22,7.47,90.4,23,0.4,0.8,0.4,0.4,0.2,0
147,declaritive,WE CAN'T FIND THE STADIUM.,WE CAN'T FIND THE STADIUM,WE CAN'T FIND DOES THE THE ON,WE CAN'T FIND THE STEDIO,WE CAN'T FIND THE SPEDIUM, WE CAN'T FIND THE STADIUM,WE CAN'T FIND THE STADIUM,WE CAN'T FIND THE STADIUM,1.66,5.02,95.6,14,0.6,0.2,0.2,0,0,0
148,declaritive,TRY THIS BLUE SHIRT.,TRY THIS BLUE SHIRT,TRY THE IS BARELY SHED,TRIGEOS BLUESHARE,TRYGAS BLUCHER, TRY THIS BLUE SHIRT,TRY THIS BLUE SHIRT,TRY THIS BLUE SHIRT,1.66,5.02,93.4,14,1,1,1,0,0,0
149,declaritive,WELCOME TO KOREA.,WELCOME TO KOREA,COME TO KOREA,WERE COME TO COREA,WE'RCOME TO COREA, WELCOME TO KOREA,WELCOME TO KOREA,WELCOME TO KOREA,1.66,2.51,92.2,31,0.33,1,0.67,0,0,0
150,declaritive,BUT I DON'T LIKE SNAILS.,BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS,BUT I DON'T ALIKE SNALS,BUT I DON'T LIKE SNAILS, BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS,BUT I DON'T LIKE SNAILS,2.51,3.05,96.2,30,0,0.4,0,0,0,0
151,declaritive,WE ARE HAVING AN ANIMAL CONTEST.,WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING ON ANYMORE CONTEST,WE ARE HAVING ON ANY MORE CONTEST,WE ARE HAVING AN ANIMAL CONTEST, WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING AN ANIMAL CONTEST,WE ARE HAVING AN ANIMAL CONTEST,2.51,6.01,97.4,25,0.33,0.5,0,0,0,0
152,declaritive,THIS ANIMAL LIVES ON A FARM.,THIS ANIMAL LIVES ON A FARM,ANGER LEAVES THE OWNER FRYER,THIS ANIMO LAVES ON A FIRE,THIS ANIMAL LIVES ON A FIRE, THIS ANIMAL LIVES ON A FARM,THIS ANIMAL LIVES ON A FARM,THIS ANIMAL LIVES ON A FARM,2.51,5.53,95.6,34,1,0.5,0.17,0,0,0
153,exclamatory,I'M SO EXCITED!,I'M SO EXCITED,I'M SO EXCITED,IM THOUGHT YOU TIBUG,I'M SO EXCITED, I'M SO EXCITED,I'M SO EXCITED,I'M SO EXCITED,1.03,5.02,77.2,27,0,1.33,0,0,0,0
154,declaritive,WE HAVE OUR LAST MESSAGE.,WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MONTH,WE HAVE ALAST CO MESS,WE HAVE AUR LAST MESSA, WE HAVE A LAST MESSAGE,WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MESSAGE,2.51,4.01,84.4,9,0.2,0.6,0.4,0.2,0,0
155,interrogative,HOW MUCH IS A TICKET?,HOW MUCH IS A TICKET,OH MARGE IS OUR TAKE CARE,HOW MUCH ITS OUT TEACAP,HOW MUCH IS OU TA KET, HOW MUCH IS A TICKET,HOW MUCH IS YOUR TICKET,HOW MUCH IS A TICKET,2.51,4.5,93.8,28,1,0.6,0.6,0,0.2,0
156,declaritive,LOOK OVER THERE.,LOOK OVER THERE,A OVER FIRE,LOVE ALL MY BY,LOK ALL MY BA, LOOK ALL THE WAY,LOOK OVER THERE,LOOK OVER THERE,3.69,3.05,25.2,17,0.67,1.33,1.33,1,0,0
157,declaritive,MY FOOT HURTS.,MY FOOT HURTS,LIVE BIRTH HURST,MY FUNK HARST,MY FOOT HURST, MY FOOT FIRST,MY FOOT FIRST,MY FOOT HURTS,3.22,5.53,67,9,1,0.67,0.33,0.33,0.33,0
158,declaritive,IT'S YOUR SIZE.,IT'S YOUR SIZE,A SERIOUS SIZE,IT'S YOUR SIZE,IT'S YOUR SIZE, IT'S YOUR SIZE,IT'S YOUR SIZE,IT'S YOUR SIZE,1.66,3.05,75.4,25,0.67,0,0,0,0,0
159,interrogative,WHAT DOES IT SAY?,WHAT DOES IT SAY,WHY DOES IT SAY,ON DOS IT FAY,WHAT DOES HE SAY, ONE DOSE A DAY,WHAT DOES IT SAY,WHAT DOES IT SAY,1.66,5.02,98.8,30,0.25,0.75,0.25,1,0,0
160,declaritive,MY BIKE IS BROKEN.,MY BIKE IS BROKEN,MY LIFE IS BROKEN,MY LIFE IS BROK,MY WIFE IS BROKEN, MY BIKE IS BROKEN,MY BIKE IS BROKEN,MY BIKE IS BROKEN,2.51,2.51,93.8,24,0.25,0.5,0.25,0,0,0
161,declaritive,LET'S SEE THE DOLPHIN.,LET'S SEE THE DOLPHIN,LET'S SEE THAT OFTEN,LE SEE THA GOLFIN,LES SE THE DOLPHIN, LET'S SEE THE DOLPHIN,LET'S FEED THE DOLPHIN,LET'S SEE THE DOLPHIN,1.66,5.53,94.6,23,0.5,0.75,0.5,0,0.25,0
162,declaritive,IT'S REALLY INTERESTING.,IT'S REALLY INTERESTING,HE'S REALLY INTO,IT MERRY,I NEARLY INTEREST, IT'S REALLY INTERESTING,IT'S LILY INTEREST,IT'S REALLY INTERESTING,1.66,5.53,70,34,0.67,1,1,0,0.67,0
163,interrogative,CAN YOU READ THE MESSAGE?,CAN YOU READ THE MESSAGE,OH YEAH RAY FARMER FALL,HUNGRY AMA FA,O YER RAS BY MY FA, CAN YOU REST ON MY SIDE,CAN YOU READ THE MESSAGE,CAN YOU READ THE MESSAGE,5.55,4.5,85,23,1,1,1.2,0.8,0,0
164,interrogative,CAN I FEED THE DOLPHIN?,CAN I FEED THE DOLPHIN,CAN I FREEZE DAUGHTER OF FRIENDS,CAN I FAITH THE DORPHIN,CAN I FAT THAT ORPHIN, CAN I FEED THAT ORPHAN,CAN I FEED THE DOLPHIN,CAN I FEED THE DOLPHIN,1.66,5.53,85.8,13,0.8,0.4,0.6,0.4,0,0
165,interrogative,CAN YOU GO TOMORROW MORNING?,CAN YOU GO TOMORROW MORNING,CAN YOU GOT TO MARA MONEY,TEN YOU GOOD TO MORROW A MONEY,CAN YOU GO TO MORRO MONI, CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,2.51,5.53,84.8,26,0.8,1.2,0.6,0,0,0
166,interrogative,ARE YOU THIRSTY?,ARE YOU THIRSTY,OH YOU TERRORIST THE,ON YOU DIRSTY,ARE YOU THIRSTY, ALL YOU THIRSTY,ALL YOU THIRSTY,ARE YOU THIRSTY,1.66,5.53,86.2,9,1,0.67,0,0.33,0.33,0
167,declaritive,IT HAS A LONG TAIL.,IT HAS A LONG TAIL,IT HAS A LONG TAIL,IT HAS A LONG PAIL,IT HAS A LONG TAIL, IT HAS A LONG TAIL,IT HAS A LONG TAIL,IT HAS A LONG TAIL,1.66,4.01,96,24,0,0.2,0,0,0,0
168,interrogative,ARE WE LOST?,ARE WE LOST,ARE WE LOST,HURRY LOST,ARY LOST, I ALREADY LOST,ARE WE LOST,ARE WE LOST,1.17,3.05,100,14,0,0.67,0.67,0.67,0,0
169,declaritive,LET'S FIND THE LAST ANIMAL.,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST  ANIMAL,LET'S FIND THE LAST ANIMAL, LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL,LET'S FIND THE LAST ANIMAL,1.66,5.53,93.4,24,0,0,0,0,0,0
170,interrogative,WHAT'S WRONG?,WHAT'S WRONG,WHAT'S WRONG,WHITE WRONG,WHAT'S WRONG, WHAT'S WRONG,WHAT'S WRONG,WHAT'S WRONG,1.66,4.5,85.8,20,0,0.5,0,0,0,0
171,declaritive,I CAN FIX IT.,I CAN FIX IT,WE CAN THEN,AN TAKE A MAN,I CAN QRAKEN, I CAN FIX IT,I CAN FIX THIS,I CAN FIX IT,2.51,4.5,89.2,33,0.75,1,0.5,0,0.25,0
172,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,WE HAVE THAT NEXT MASS SAY IT'S,WE HAV THA NEXT MASSADES,WE HAB TA NEXT MASAZ, WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE,3.22,5.02,82.4,16,0.8,0.6,0.6,0,0,0
173,declaritive,THAT MEANS HELLO IN KOREAN.,THAT MEANS HELLO IN KOREAN,THAT NICE HELLO ONLY COFFEE,DEAD MAS ERO INCORI,DEAD MASE HELLO IN COVY, THAT MEANS HELLO IN THE COVER,THAT MEANS HELLO IN KOREAN,THAT MEANS HELLO IN KOREAN,1.66,5.53,77.6,27,0.6,1,0.6,0.4,0,0
174,interrogative,WHAT DO YOU THINK?,WHAT DO YOU THINK,WHAT THEY DO YOU AND,WHAT DE YOU THIK,WHAT DO YOU THINK, WHAT DO YOU THINK,WHAT DO YOU THINK,WHAT DO YOU THINK,1.66,4.01,99.4,12,0.5,0.5,0,0,0,0
175,exclamatory,BE CAREFUL!,BE CAREFUL,BE CAREFUL,MERE CAREFUL,BE CAREFUL, BE CAREFUL,BE CAREFUL,BE CAREFUL,1.17,3.05,99.4,7,0,0.5,0,0,0,0
176,interrogative,DO YOU LIKE PASTA?,DO YOU LIKE PASTA,DO YOU LIKE PLAZA,DO YOUL LIKE PLATAN,DO YOU LIKE PASA, DO YOU LIKE PASTA,DO YOU LIKE PRADA,DO YOU LIKE PASTA,1.66,5.02,97.6,14,0.25,0.5,0.25,0,0.25,0
177,declaritive,IT'S ON THE TEAM.,IT'S ON THE TEAM,IT'S OWN THE TEAM,IT'S ON BATIM,IT'S ON THE TAM, IT'S ON THE TEAM,IT'S ON THE TEAM,IT'S ON THE TEAM,2.51,4.01,99.4,29,0.25,0.5,0.25,0,0,0
178,interrogative,WHAT'S YOUR NAME?,WHAT'S YOUR NAME,WHAT'S YOUR NAME,SUREI,ATS YORNA, WHAT'S YOUR NAME,WHAT'S YOUR NAME,WHAT'S YOUR NAME,1.66,2.51,73.8,16,0,1,1,0,0,0
179,interrogative,HOW MUCH IS THIS BOOK?,HOW MUCH IS THIS BOOK,HOW MUCH AS PLEASE BOTH,HO MUCH IKI BO,HO MAJIS TIS FO, HOW MUCH IS THIS FOOD,HOW MUCH IS THIS FOOD,HOW MUCH IS THIS BOOK,1.66,3.54,86,18,0.6,0.8,1,0.2,0.2,0
180,interrogative,CAN I BUY THIS PENCIL?,CAN I BUY THIS PENCIL,CAN I FIND HIS PARENTS,A MAN VIDEAS PANCE,AN IVI DIS PENCEL, TO KNOW WHY THIS PENCIL,CAN I BUY THIS PENCIL,CAN I BUY THIS PENCIL,1.66,4.01,82.4,20,0.6,1,1,0.6,0,0
181,declaritive,MEET MY FRIEND.,MEET MY FRIEND,MADE LIFE RISE,O MAKE MY FRIEND,MET MY FRIEND, MEET MY FRIEND,MEET MY FRIENDS,MEET MY FRIEND,1.66,3.54,95.8,27,1,0.67,0.33,0,0.33,0
182,declaritive,IT'S REALLY INTERESTING.,IT'S REALLY INTERESTING,A FEW REALLY LANE TOURIST GAME,I FERYRAIN TO ROSBON,IT YOU REALLY INTERUSTING, IT'S REALLY INTERESTING,IT'S REALLY INTERESTING,IT'S REALLY INTERESTING,2.51,5.02,64,20,1.67,1.33,1,0,0,0
183,declaritive,IT IS ON THE FOOTBALL TEAM.,IT IS ON THE FOOTBALL TEAM,IT EASY AND OUR FEDERAL TEAM,HET EAS ON TE FOOTFUL TAM,IT IS UNDER FOOTFAL TIM, IT IS UNDER 410,IT IS ON THE FRUITFUL TEAM,IT IS ON THE FOOTBALL TEAM,1.66,4.5,87.8,17,0.67,0.83,0.67,0.67,0.17,0
184,interrogative,WHAT DO YOU EAT IN KOREA?,WHAT DO YOU EAT IN KOREA,WAS REALLY EATING,LASBILIA ABIN,WASGULIA ADN COR,WHAT DO YOU EAT IN FOOD,WHAT DO YOU EAT IN KURA,WHAT DO YOU EAT IN COURT,4.43,5.53,86.8,23,1,1,1,0.17,0.17,0.17
185,declaritive,LET'S GO TO THE FOREST TOMORROW.,LET'S GO TO THE FOREST TOMORROW,LAST TWO THAT ASKED TOMORROW,CAN HERE GO TO US MA,CAN YER GO TO THE STATE,LET'S GO TO THE FIRST TOMORROW,LET'S GO TO THE FOREST TOMORROW,LET'S GO TO THE FIRST TOMORROW,7.51,8,71.6,13,0.83,0.83,0.67,0.17,0,0.17
186,exclamatory,THE LAST ANSWER IS THE DINOSAUR!,THE LAST ANSWER IS THE DINOSAUR,THE REST ANSWER IS THE DINOSAUR,LET'S GO TO THAT FLAST TOMORROW,LET'S GO TO DAFEST TO MORLOW,THE REST ANSWER IS THE DINOSAUR,THE LAST ANSWER IS THE DINOSAUR,THE REST ANSWER IS THE DINOSAUR,6.99,8.52,85,22,0.17,1,1,0.17,0,0.17
187,interrogative,CAN YOU GO TO THE STADIUM?,CAN YOU GO TO THE STADIUM,CAN YOU GOT TO THE STATE,THE REST ANSIR IS THE THINE SIR,THE REST ANSER IS TE DINSON,CAN YOU GO TO THE STAGE,CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STAGE,1.66,1.95,97,28,0.33,1,1,0.17,0,0.17
188,declaritive,THE ANIMAL'S BONES ARE AT THE MUSEUM.,THE ANIMAL'S BONES ARE AT THE MUSEUM,THE MOST BARS ARE AT THE MUSIC,WITH THE ANIMALS BALLS ARE AT THE MUS,THE ANMALST BALS ARE AT THE MUS,THE END ROWS BOTH ARE AT THE MUSEUM,THE ANIMALS' BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSIC,3.69,6.01,68.4,23,0.43,0.57,0.43,0.43,0.14,0.29
189,declaritive,IT'S AN IMPORTANT BIRD IN AMERICA.,IT'S AN IMPORTANT BIRD IN AMERICA,IS A NEW PART TIME BARTH IS VERY,IT'S AIMPORTAN BARD IN AMERICA,IT'S AN IMPORTANT BORD IN AMERICA,IT'S AN IMPORTANT WORD IN THE WORLD,IT'S AN IMPORTANT BIRD IN AMERICA,IT'S AN IMPORTANT PART IN AMERICA,3.69,6.49,88.8,28,1.33,0.5,0.17,0.5,0,0.17
190,declaritive,WE EAT LOTS OF CURRY IN INDIA.,WE EAT LOTS OF CURRY IN INDIA,WE A ROCK OF COREY IN INDIA,WE IT ROT OF CORY IN INDIA,WE EAT DROT OF CORRY IN INDIA,WE EAT A LOT OF CURRY IN INDIA,WE EAT LOTS OF CURRY IN INDIA,WE EAT LOT OF CURRY IN INDIA,1.66,6.49,88.2,17,0.43,0.43,0.29,0.29,0,0.14